"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"94569",2,2019,"Gas- Commercial","Y",0,0,NA
"94571",1,2019,"Gas- Commercial","Y",162,35292,218
"94571",3,2019,"Gas- Commercial","Y",163,28383,174
"94572",2,2019,"Gas- Commercial","Y",116,24993,215
"94574",1,2019,"Gas- Commercial","Y",299,190279,636
"94574",3,2019,"Gas- Commercial","Y",302,186148,616
"94576",2,2019,"Gas- Commercial","Y",0,0,NA
"94577",1,2019,"Gas- Commercial","Y",1379,463989,336
"94577",3,2019,"Gas- Commercial","Y",1443,497658,345
"94578",2,2019,"Gas- Commercial","Y",553,214852,389
"94579",1,2019,"Gas- Commercial","Y",0,0,NA
"94579",3,2019,"Gas- Commercial","Y",0,0,NA
"94580",2,2019,"Gas- Commercial","Y",0,0,NA
"94582",1,2019,"Gas- Commercial","Y",0,0,NA
"94582",3,2019,"Gas- Commercial","Y",0,0,NA
"94583",2,2019,"Gas- Commercial","Y",0,0,NA
"94585",1,2019,"Gas- Commercial","Y",0,0,NA
"94585",3,2019,"Gas- Commercial","Y",0,0,NA
"94586",2,2019,"Gas- Commercial","Y",0,0,NA
"94587",1,2019,"Gas- Commercial","Y",1115,488605,438
"94587",3,2019,"Gas- Commercial","Y",0,0,NA
"94588",2,2019,"Gas- Commercial","N",605,534393,883
"94589",1,2019,"Gas- Commercial","Y",0,0,NA
"94589",3,2019,"Gas- Commercial","Y",0,0,NA
"94590",2,2019,"Gas- Commercial","Y",984,386642,393
"94591",1,2019,"Gas- Commercial","Y",454,192922,425
"94591",3,2019,"Gas- Commercial","Y",454,180163,397
"94595",2,2019,"Gas- Commercial","Y",0,0,NA
"94596",1,2019,"Gas- Commercial","Y",810,431136,532
"94596",3,2019,"Gas- Commercial","Y",812,394818,486
"94597",2,2019,"Gas- Commercial","N",222,143071,644
"94598",1,2019,"Gas- Commercial","N",266,185311,697
"94598",3,2019,"Gas- Commercial","N",266,157603,592
"94599",2,2019,"Gas- Commercial","Y",0,0,NA
"94601",1,2019,"Gas- Commercial","N",544,184769,340
"94601",3,2019,"Gas- Commercial","Y",725,270170,373
"94602",2,2019,"Gas- Commercial","N",231,56306,244
"94603",1,2019,"Gas- Commercial","Y",0,0,NA
"94603",3,2019,"Gas- Commercial","Y",0,0,NA
"94605",2,2019,"Gas- Commercial","Y",0,0,NA
"94606",1,2019,"Gas- Commercial","N",400,124216,311
"94606",3,2019,"Gas- Commercial","N",407,121156,298
"94607",2,2019,"Gas- Commercial","N",636,298471,469
"94608",1,2019,"Gas- Commercial","Y",967,518244,536
"94608",3,2019,"Gas- Commercial","Y",974,500801,514
"94609",2,2019,"Gas- Commercial","Y",0,0,NA
"94610",1,2019,"Gas- Commercial","N",277,61941,224
"94610",3,2019,"Gas- Commercial","Y",0,0,NA
"94611",2,2019,"Gas- Commercial","Y",544,181667,334
"94612",1,2019,"Gas- Commercial","N",474,254108,536
"94612",3,2019,"Gas- Commercial","N",476,275052,578
"94613",2,2019,"Gas- Commercial","Y",0,0,NA
"94618",1,2019,"Gas- Commercial","Y",0,0,NA
"94618",3,2019,"Gas- Commercial","Y",0,0,NA
"94619",2,2019,"Gas- Commercial","Y",0,0,NA
"94621",1,2019,"Gas- Commercial","Y",556,327158,588
"94621",3,2019,"Gas- Commercial","Y",556,292335,526
"94702",2,2019,"Gas- Commercial","Y",639,182790,286
"94703",1,2019,"Gas- Commercial","Y",0,0,NA
"94703",3,2019,"Gas- Commercial","Y",0,0,NA
"94704",2,2019,"Gas- Commercial","N",489,255559,523
"94705",1,2019,"Gas- Commercial","Y",380,150795,397
"94705",3,2019,"Gas- Commercial","Y",0,0,NA
"94706",2,2019,"Gas- Commercial","Y",0,0,NA
"94707",1,2019,"Gas- Commercial","Y",0,0,NA
"94707",3,2019,"Gas- Commercial","Y",0,0,NA
"94708",2,2019,"Gas- Commercial","Y",0,0,NA
"94709",1,2019,"Gas- Commercial","Y",0,0,NA
"94709",3,2019,"Gas- Commercial","Y",0,0,NA
"94710",2,2019,"Gas- Commercial","Y",1169,446364,382
"94720",1,2019,"Gas- Commercial","Y",0,0,NA
"94720",3,2019,"Gas- Commercial","Y",0,0,NA
"94801",2,2019,"Gas- Commercial","N",290,134836,465
"94803",1,2019,"Gas- Commercial","Y",0,0,NA
"94803",3,2019,"Gas- Commercial","Y",0,0,NA
"94804",2,2019,"Gas- Commercial","N",536,319375,596
"94805",1,2019,"Gas- Commercial","N",196,31852,163
"94805",3,2019,"Gas- Commercial","Y",0,0,NA
"94806",2,2019,"Gas- Commercial","N",403,201976,501
"94901",1,2019,"Gas- Commercial","N",1123,328408,292
"94901",3,2019,"Gas- Commercial","Y",2710,982133,362
"94903",2,2019,"Gas- Commercial","Y",0,0,NA
"94904",1,2019,"Gas- Commercial","Y",0,0,NA
"94904",3,2019,"Gas- Commercial","Y",0,0,NA
"94920",2,2019,"Gas- Commercial","N",135,46453,344
"94925",1,2019,"Gas- Commercial","Y",300,114535,382
"94925",3,2019,"Gas- Commercial","Y",300,110021,367
"94928",2,2019,"Gas- Commercial","Y",0,0,NA
"94930",1,2019,"Gas- Commercial","Y",0,0,NA
"94930",3,2019,"Gas- Commercial","Y",0,0,NA
"94931",2,2019,"Gas- Commercial","Y",0,0,NA
"94939",1,2019,"Gas- Commercial","N",249,90031,362
"94939",3,2019,"Gas- Commercial","Y",368,148863,405
"94941",2,2019,"Gas- Commercial","Y",808,296021,366
"94945",1,2019,"Gas- Commercial","Y",548,201609,368
"94945",3,2019,"Gas- Commercial","Y",0,0,NA
"94947",2,2019,"Gas- Commercial","Y",0,0,NA
"94949",1,2019,"Gas- Commercial","Y",756,384042,508
"94949",3,2019,"Gas- Commercial","Y",0,0,NA
"94951",2,2019,"Gas- Commercial","Y",0,0,NA
"94952",1,2019,"Gas- Commercial","N",831,288536,347
"94952",3,2019,"Gas- Commercial","N",831,246891,297
"94954",2,2019,"Gas- Commercial","N",523,278070,532
"94960",1,2019,"Gas- Commercial","Y",422,143692,341
"94960",3,2019,"Gas- Commercial","Y",0,0,NA
"94965",2,2019,"Gas- Commercial","Y",0,0,NA
"95002",1,2019,"Gas- Commercial","Y",0,0,NA
"95002",3,2019,"Gas- Commercial","Y",0,0,NA
"95003",2,2019,"Gas- Commercial","Y",581,153001,263
"95004",1,2019,"Gas- Commercial","Y",0,0,NA
"95004",3,2019,"Gas- Commercial","Y",0,0,NA
"95005",2,2019,"Gas- Commercial","Y",0,0,NA
"95006",1,2019,"Gas- Commercial","N",75,12489,167
"95006",3,2019,"Gas- Commercial","N",76,10571,139
"95008",2,2019,"Gas- Commercial","Y",1101,398436,362
"95010",1,2019,"Gas- Commercial","N",325,95377,293
"95010",3,2019,"Gas- Commercial","N",323,89527,277
"95012",2,2019,"Gas- Commercial","Y",165,48897,296
"95013",1,2019,"Gas- Commercial","Y",0,0,NA
"95013",3,2019,"Gas- Commercial","Y",0,0,NA
"95014",2,2019,"Gas- Commercial","Y",1999,1186403,593
"95017",1,2019,"Gas- Commercial","Y",0,0,NA
"95017",3,2019,"Gas- Commercial","Y",0,0,NA
"95018",2,2019,"Gas- Commercial","Y",0,0,NA
"95019",1,2019,"Gas- Commercial","Y",0,0,NA
"95019",3,2019,"Gas- Commercial","Y",0,0,NA
"95020",2,2019,"Gas- Commercial","N",951,443339,466
"95023",1,2019,"Gas- Commercial","N",597,240439,403
"95023",3,2019,"Gas- Commercial","Y",1285,458830,357
"95030",2,2019,"Gas- Commercial","N",396,149495,378
"95032",1,2019,"Gas- Commercial","N",379,189331,500
"95032",3,2019,"Gas- Commercial","N",382,181644,476
"95035",2,2019,"Gas- Commercial","Y",1116,832278,746
"95037",1,2019,"Gas- Commercial","Y",873,379385,435
"95037",3,2019,"Gas- Commercial","Y",870,333509,383
"95039",2,2019,"Gas- Commercial","Y",0,0,NA
"95043",1,2019,"Gas- Commercial","Y",0,0,NA
"95043",3,2019,"Gas- Commercial","Y",0,0,NA
"95045",2,2019,"Gas- Commercial","Y",0,0,NA
"95046",1,2019,"Gas- Commercial","Y",0,0,NA
"95046",3,2019,"Gas- Commercial","Y",0,0,NA
"95050",2,2019,"Gas- Commercial","Y",777,529971,682
"95051",1,2019,"Gas- Commercial","Y",0,0,NA
"95051",3,2019,"Gas- Commercial","N",529,292990,554
"95053",2,2019,"Gas- Commercial","Y",0,0,NA
"95054",1,2019,"Gas- Commercial","Y",1840,2403024,1306
"95054",3,2019,"Gas- Commercial","Y",1844,2214011,1201
"95060",2,2019,"Gas- Commercial","Y",1070,406452,380
"95062",1,2019,"Gas- Commercial","N",642,188368,293
"95062",3,2019,"Gas- Commercial","N",641,156263,244
