"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"94124",2,2019,"Elec- Commercial","Y",1787,11896922,6657
"94127",1,2019,"Elec- Commercial","N",347,1006319,2900
"94127",3,2019,"Elec- Commercial","N",350,1114599,3185
"94128",2,2019,"Elec- Commercial","Y",0,0,NA
"94129",1,2019,"Elec- Commercial","Y",0,0,NA
"94129",3,2019,"Elec- Commercial","Y",0,0,NA
"94130",2,2019,"Elec- Commercial","Y",0,0,NA
"94131",1,2019,"Elec- Commercial","Y",0,0,NA
"94131",3,2019,"Elec- Commercial","Y",0,0,NA
"94132",2,2019,"Elec- Commercial","N",285,2407626,8448
"94133",1,2019,"Elec- Commercial","N",1279,9452141,7390
"94133",3,2019,"Elec- Commercial","N",1278,9136817,7149
"94134",2,2019,"Elec- Commercial","Y",0,0,NA
"94158",1,2019,"Elec- Commercial","N",93,4694007,50473
"94158",3,2019,"Elec- Commercial","N",94,4199341,44674
"94303",2,2019,"Elec- Commercial","Y",0,0,NA
"94304",1,2019,"Elec- Commercial","Y",0,0,NA
"94304",3,2019,"Elec- Commercial","Y",0,0,NA
"94305",2,2019,"Elec- Commercial","Y",0,0,NA
"94306",1,2019,"Elec- Commercial","Y",0,0,NA
"94306",3,2019,"Elec- Commercial","Y",0,0,NA
"94401",2,2019,"Elec- Commercial","Y",2243,27159788,12109
"94402",1,2019,"Elec- Commercial","N",486,5161201,10620
"94402",3,2019,"Elec- Commercial","N",487,5004466,10276
"94403",2,2019,"Elec- Commercial","Y",0,0,NA
"94404",1,2019,"Elec- Commercial","Y",0,0,NA
"94404",3,2019,"Elec- Commercial","Y",0,0,NA
"94501",2,2019,"Elec- Commercial","Y",0,0,NA
"94502",1,2019,"Elec- Commercial","Y",0,0,NA
"94502",3,2019,"Elec- Commercial","Y",0,0,NA
"94503",2,2019,"Elec- Commercial","N",294,4280231,14559
"94505",1,2019,"Elec- Commercial","Y",0,0,NA
"94505",3,2019,"Elec- Commercial","Y",0,0,NA
"94506",2,2019,"Elec- Commercial","N",229,1914267,8359
"94507",1,2019,"Elec- Commercial","Y",0,0,NA
"94507",3,2019,"Elec- Commercial","Y",0,0,NA
"94508",2,2019,"Elec- Commercial","Y",95,272990,2874
"94509",1,2019,"Elec- Commercial","N",1262,8214433,6509
"94509",3,2019,"Elec- Commercial","N",1260,7547754,5990
"94510",2,2019,"Elec- Commercial","N",997,5736244,5754
"94512",1,2019,"Elec- Commercial","Y",0,0,NA
"94512",3,2019,"Elec- Commercial","Y",0,0,NA
"94513",2,2019,"Elec- Commercial","N",1235,6894845,5583
"94514",1,2019,"Elec- Commercial","Y",0,0,NA
"94514",3,2019,"Elec- Commercial","Y",0,0,NA
"94515",2,2019,"Elec- Commercial","Y",821,4035624,4915
"94517",1,2019,"Elec- Commercial","N",152,1053365,6930
"94517",3,2019,"Elec- Commercial","N",152,900336,5923
"94518",2,2019,"Elec- Commercial","N",514,2066740,4021
"94519",1,2019,"Elec- Commercial","N",325,1551475,4774
"94519",3,2019,"Elec- Commercial","Y",0,0,NA
"94520",2,2019,"Elec- Commercial","N",1892,15967185,8439
"94521",1,2019,"Elec- Commercial","N",441,3208081,7275
"94521",3,2019,"Elec- Commercial","Y",0,0,NA
"94523",2,2019,"Elec- Commercial","Y",0,0,NA
"94525",1,2019,"Elec- Commercial","Y",0,0,NA
"94525",3,2019,"Elec- Commercial","Y",0,0,NA
"94526",2,2019,"Elec- Commercial","Y",0,0,NA
"94528",1,2019,"Elec- Commercial","Y",0,0,NA
"94528",3,2019,"Elec- Commercial","Y",0,0,NA
"94530",2,2019,"Elec- Commercial","Y",1657,6766049,4083
